"Titles","Year","Cited by","Link"
"Multi-vehicle decentralized fusion and tracking","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862875175&doi=10.1117%2f12.919416&partnerID=40&md5=f863690064f6ee531d494976ce9f9043"
"A study of material identification using SAR","2012","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864190839&doi=10.1109%2fRADAR.2012.6212121&partnerID=40&md5=de492fdf624b8d86b527b7ba250123d5"
"Applications of real-time thermoregulatory models to occupational heat stress: Validation with military and civilian field studies","2012","20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863653400&doi=10.1519%2fJSC.0b013e31825ceba4&partnerID=40&md5=a7e73ae22c4a420f8aa808779ee5e0bf"
"Landing zone determination using video rate point cloud data","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864359053&doi=10.1117%2f12.919092&partnerID=40&md5=1d2ad71a9450d0b4e2f5147a5f07419f"
"Improved clutch engagement control method for unmanned helicopter","2012","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867591265&partnerID=40&md5=119b71aebd722722e575b0d9d0a513e4"
"Optimal reliable relay selection in multiuser cooperative relaying networks","2012","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865341367&doi=10.1007%2fs11276-012-0421-8&partnerID=40&md5=54532fcee0d3b755b594e0fa8b3252f3"
"An improved algorithm for computing observing angle of agile imaging satellite based on ellipsoid kinematic model","2012","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867852903&partnerID=40&md5=835a87eb400bde95fac90d721fea2e3e"
"Design smart city based on 3S, internet of things, grid computing and cloud computing technology","2012","20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864995768&doi=10.1007%2f978-3-642-32427-7_65&partnerID=40&md5=25316b68ea3451860f595adedc419c45"
"The two-component system Ihk/Irr contributes to the virulence of Streptococcus suis serotype 2 strain 05ZYH33 through alteration of the bacterial cell metabolism","2012","30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863648388&doi=10.1099%2fmic.0.057448-0&partnerID=40&md5=76ecf15077bb1f032188612263512818"
"Experimental animal models for studies on the mechanisms of blast-induced neurotrauma","2012","73","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865837446&doi=10.3389%2ffneur.2012.00030&partnerID=40&md5=153e939bf9701084d4f880a1fa0500da"
"Asymmetric dual-channel MAC protocol for multihop mobile Ad Hoc networks","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872455930&partnerID=40&md5=da860cd9c1a4a7058359d90635d75f2a"
"Research on decision-making entity organization structure of military C2 organization","2012","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864250255&doi=10.1109%2fISRA.2012.6219356&partnerID=40&md5=00ea435a1f1ca8c164880b0126f795c0"
"Enhanced energy efficient privacy provisioning in WSN","2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866973630&partnerID=40&md5=6c6a668830675bdba8d6c962c1ebb9f2"
"ALLFlight: A full scale pilot assistance test environment","2012","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864951945&partnerID=40&md5=91004989326cff310a7c311c71763c6f"
"Advanced telemetry and telecontrol using smart sensors","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864768760&doi=10.2316%2fP.2012.781-053&partnerID=40&md5=efe388ea1607da8985d99cf339d4ab78"
"Development and characterization of an open-ended shock tube for the study of blast MTBI","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865018304&partnerID=40&md5=0cc7c53ad33e2be2d30129e29de92086"
"Supervisory control of multiple robots in dynamic tasking environments","2012","29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865070448&doi=10.1080%2f00140139.2012.689013&partnerID=40&md5=c062b8bdc79e34f33a23aa05c8c95864"
"In VANETs we trust?: Characterizing RF jamming in vehicular networks","2012","41","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864315244&doi=10.1145%2f2307888.2307903&partnerID=40&md5=1a83c378d3c53e371f94bde551a9dc1a"
"Avian influenza virus H5N1 induces rapid interferon-beta production but shows more potent inhibition to retinoic acid-inducible gene i expression than H1N1 in vitro","2012","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864522408&doi=10.1186%2f1743-422X-9-145&partnerID=40&md5=21d53ca814b79bfa87bc4efd97b24fb0"
"Regression-based trust model for mobile ad hoc networks","2012","38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878346536&doi=10.1049%2fiet-ifs.2011.0234&partnerID=40&md5=c6658a83ceb3ca0eb474557eb78f6256"
"Reconnaissance and autonomy for small robots (RASR) team: MAGIC 2010 challenge","2012","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865224565&doi=10.1002%2frob.21428&partnerID=40&md5=ce65e50043528b1661c0ec00f2fc6c38"
"Adaptive optics to enhance target recognition","2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862891780&doi=10.1117%2f12.919449&partnerID=40&md5=af462dbba3d8d12726d53a2a94f2a3ea"
"On development of Hilbert-Huang transform data processing real-time system with 2D capabilities","2012","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866650992&doi=10.1109%2fAHS.2012.6268656&partnerID=40&md5=c40e9a678ce1b845972015b2a51d079a"
"Node capture attack detection and defence in wireless sensor networks","2012","52","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866951209&doi=10.1049%2fiet-wss.2011.0064&partnerID=40&md5=a2a045919b54797aaca1fcda2bace083"
"Potential improvement of cognitive capability of naval modern multi-function RADAR","2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864250248&doi=10.1109%2fRADAR.2012.6212103&partnerID=40&md5=9e2a2194cb33efbcee24a2e795a700bf"
"Decentralized multi-target-tracking using a LIDAR sensor network","2012","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864225799&doi=10.1109%2fI2MTC.2012.6229715&partnerID=40&md5=8d4a4bfa166eb890701cf3897f04e3eb"
"Jamming attack detection and rate adaptation scheme for IEEE 802.11 multi-hop tactical networks","2012","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864755294&partnerID=40&md5=f054d096dd8bf13482f4b54e41f04dc3"
"Application oriented multi criteria optimization in WSNs using on AHP","2012","14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864575733&doi=10.1007%2fs11277-011-0280-0&partnerID=40&md5=2159a4d359c1171126ca23a8db6a522c"
"Interference-aware geocasting for VANET","2012","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866411759&doi=10.1109%2fWoWMoM.2012.6263795&partnerID=40&md5=be09eb1b09affe8ce87a911d808e5a6b"
"Effect of selenium in organic and inorganic form on liver, kidney, brain and muscle of Wistar rats","2012","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867085063&doi=10.2478%2fs11532-012-0064-8&partnerID=40&md5=9fae008c0627b85c1789d6234b37c841"
"Physical-layer identification of wired ethernet devices","2012","33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863962575&doi=10.1109%2fTIFS.2012.2197746&partnerID=40&md5=dd5fb247137e72f16f6ddf6d55e3d30a"
"Dynamic decentralized/centralized free conflict UAV's team allocation","2012","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864269930&doi=10.1109%2fI2MTC.2012.6229369&partnerID=40&md5=2df42b5a590c976084458d623e0f8946"
"Distributed geolocation algorithm in mobile ad hoc networks using received signal strength differences","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863924334&doi=10.1117%2f12.918035&partnerID=40&md5=df3f33068a9ca5242737b3964bad243d"
"A node deployment strategy considering environmental factors and the number of nodes in surveillance and reconnaissance sensor networks","2012","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866170614&doi=10.1155%2f2012%2f385282&partnerID=40&md5=deac7bb89bb1a39f3546c1f88d3080fe"
"Regulatory dendritic cells program B cells to differentiate into CD19 hiFcγIIbhi regulatory B cells through IFN-β and CD40L","2012","65","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864126038&doi=10.1182%2fblood-2011-08-377242&partnerID=40&md5=db734dbe84957c06ef8ef984313d9f05"
"Chlorophyll based biosensor for sulfur mustard - A chemical warfare agent","2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866381409&doi=10.1109%2fISPTS.2012.6260887&partnerID=40&md5=24acb9fbad616df0d89eb51a7f1f90fe"
"A miniature HRWS SAR concept for near-space vehicles","2012","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866183377&doi=10.1109%2fIRS.2012.6233334&partnerID=40&md5=fd9e4195427eff7c3e88dc2c8e22092f"
"Management of radar resources for space debris tracking","2012","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864369183&doi=10.1117%2f12.919186&partnerID=40&md5=3cba06258006e89528924011318b84c0"
"Preventing wormhole attacks using physical layer authentication","2012","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864330345&doi=10.1109%2fWCNC.2012.6214260&partnerID=40&md5=b9b2e9387bedea6887762d2e6376f1db"
"Tow ship interference suppression combined with blind temporal-spatial algorithm and adaptive beamforming","2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864502246&partnerID=40&md5=9f36f5cdb8236f248f7e6bb0beabd4ab"
"Calibration and use of a MEMS surface fence for wall shear stress measurements in turbulent flows","2012","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865362364&doi=10.1007%2fs00348-012-1304-6&partnerID=40&md5=9c09970a324eb5de72092a82ebe67e60"
"Configurable semi-autonomic animated animal characters in interactive virtual reality applications","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864989278&doi=10.1109%2fSEARIS.2012.6231171&partnerID=40&md5=639a5951ba0020ae83ed6e3caf39b60d"
"FPAA based self-repairing wireless sensor network node","2012","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867469509&partnerID=40&md5=6b66e69ee6d3048fd7a0eb1a1ecc8553"
"Scenario-based evaluations of high-accuracy personal positioning systems","2012","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866252503&doi=10.1109%2fPLANS.2012.6236871&partnerID=40&md5=60f59d337dcbe637b41bb1bb2de3a9eb"
"Altered gene expression in cultured microglia in response to simulated blast overpressure: Possible role of pulse duration","2012","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863775147&doi=10.1016%2fj.neulet.2012.06.012&partnerID=40&md5=9ef910df002eb191adf7c9eee9a670d9"
"QCL as a game changer in MWIR and LWIR military and homeland security applications","2012","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863953725&doi=10.1117%2f12.920476&partnerID=40&md5=3216649246efa5979e381ce38c6d0237"
"Military fleet mix computation and analysis","2012","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864197302&doi=10.1109%2fMCI.2012.2200628&partnerID=40&md5=73f61ce60ad7b2407dfc59ffbb2ca0ca"
"Experimental comparison of blind rendezvous algorithms for tactical networks","2012","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866397839&doi=10.1109%2fWoWMoM.2012.6263760&partnerID=40&md5=ec5327ce6528cf4b1e3173b6a5527471"
"CH-53K control law risk reduction flight testing on the rascal JUH-60A in-flight simulator","2012","14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864949734&partnerID=40&md5=f7a2e7ebe26872d1b35bc953c99f5c9e"
"Deterministic and statistical models for multistatic ambiguity functions","2012","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864255474&doi=10.1109%2fRADAR.2012.6212138&partnerID=40&md5=cc952aeaa6f15a7c3661639fbbb4102e"
"ARINC 818 express for high-speed avionics video and power over coax","2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864354642&doi=10.1117%2f12.922859&partnerID=40&md5=3e33fd031e8817918297d5f11b973b16"
"Ranking aerial targets based on evidence theory and intuitionistic fuzzy sets","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865140685&partnerID=40&md5=be7637721f519006864a80148ed7e2d1"
"Robust multihop localization for wireless sensor networks with unreliable beacons","2012","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863647052&doi=10.1155%2f2012%2f972101&partnerID=40&md5=2b4c82af881146c6f918aa72429284c2"
"Systems-of-systems engineering in air and missile defense","2012","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862871333&partnerID=40&md5=7a2888f83515e73355885e8c253103db"
"Detecting clustered chem/bio signals in noisy sensor feeds using adaptive fusion","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863969581&doi=10.1117%2f12.921072&partnerID=40&md5=1b1e5c4750d4b5a176f00f4f6d90ecd5"
"Intracranial pressure response to non-penetrating ballistic impact: An experimental study using a pig physical head model and live pigs","2012","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867518576&doi=10.7150%2fijms.5004&partnerID=40&md5=d837180781d306abc805c7d9114b165e"
"A study on QoS routing scheme for tactical ad-hoc network","2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862872428&doi=10.1007%2f978-3-642-28308-6_22&partnerID=40&md5=cc71ecd0978bd8f4d30838e675958fb9"
"Radar and infrared sensor compound guidance with radar under intermittent-working state","2012","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865810967&partnerID=40&md5=c7f2d3da1e10ccb7bbbc9781d3b3b401"
"Unmanned aircraft systems in remote sensing and scientific research: Classification and considerations of use","2012","667","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864994879&doi=10.3390%2frs4061671&partnerID=40&md5=ed6458dc350eff1e22e359843e4a0df8"
"Connectivity of large-scale CSMA networks","2012","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862834142&doi=10.1109%2fTWC.2012.041912.111475&partnerID=40&md5=82cbaf6d9598af2eeb16c53b970c8daa"
"Research on the closed-loop driving method of the silicon micro-machined gyroscope","2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879424514&doi=10.3969%2fj.issn.1004-1699.2012.05.014&partnerID=40&md5=83637a23c8ca809719fdb74c8de3ce0b"
"A new secure route discovery protocol for MANETs to prevent hidden channel attacks","2012","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858177452&partnerID=40&md5=b5453a65aa04681dd98c0c8fc86e31b3"
"Benefits and challenges of system prognostics","2012","136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861897467&doi=10.1109%2fTR.2012.2194173&partnerID=40&md5=c87f7957de7763f70b087747607a70a7"
"Scheduling beams with different priorities on a military surveillance radar","2012","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859851635&doi=10.1109%2fTAES.2012.6178092&partnerID=40&md5=81725568b77791a3d803d67baf418e92"
"Light-weight trust-based routing protocol for mobile ad hoc networks","2012","122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863586452&doi=10.1049%2fiet-ifs.2010.0160&partnerID=40&md5=e88fb95d05a7e963ef8face7f2a287ab"
"Modeling and compensation of MEMS gyroscope output data based on support vector machine","2012","28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862823523&doi=10.1016%2fj.measurement.2012.02.001&partnerID=40&md5=00f99c0ec19d1846565fcd1fd5135947"
"Optimum order algorithm for adaptive equalizers","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863514329&partnerID=40&md5=c745a3574f18515df79974037e2191a8"
"Stand-off detection of solid targets with diffuse reflection spectroscopy using a high-power mid-infrared supercontinuum source","2012","104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861364461&doi=10.1364%2fAO.51.002794&partnerID=40&md5=ba69c9fcfcb77130212847cb9b5c1cd7"
"Soldiers' personal technologies on deployment and at home","2012","28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860782426&doi=10.1089%2ftmj.2011.0131&partnerID=40&md5=4ac49ddc6371c7c9c457efcb99206000"
"Isolation and characterisation of a human-like antibody fragment (scFv) that inactivates VEEV in vitro and in Vivo","2012","37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872752809&doi=10.1371%2fjournal.pone.0037242&partnerID=40&md5=6ac21e1462de98b9bdb82261722886ee"
"A new method to measure conflict in evidence theory","2012","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863217140&partnerID=40&md5=beb297564bf48f85522a2e89bcbccde4"
"Effect of biased estimation on radar-to-ESM track association","2012","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863691537&doi=10.1109%2fJSEE.2012.00024&partnerID=40&md5=b11c248bb1f0217b7712fa0e6f88c432"
"A ranging based scheme for detecting the wormhole attack in wireless sensor networks","2012","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866642873&doi=10.1016%2fS1005-8885%2811%2960478-0&partnerID=40&md5=473964fa322ace8bbb258424c39787fd"
"Metrological characteristics of thermal video fire detection systems","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859215749&doi=10.1007%2fs10812-012-9578-2&partnerID=40&md5=aa74b334ee419dd283b0e496907371f6"
"Interpixel crosstalk in teledyne imaging sensors H4RG-10 detectors","2012","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861414404&doi=10.1364%2fAO.51.002877&partnerID=40&md5=79e4ba9b64b67b68fedb791e87302e31"
"Functional safety requirements for active protection systems from individual and collective risk criteria","2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856725853&partnerID=40&md5=07dd72caf042f63053df3aab9413d6f5"
"ToA estimation for UWB localization basing on peak-detection","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860993050&doi=10.1109%2fISdea.2012.510&partnerID=40&md5=4f65f35bb28611ef8caa84c3a4e77264"
"Simultaneous arrival of multiple UAVs under imperfect communication","2012","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856932724&doi=10.1108%2f00022661211194960&partnerID=40&md5=13c5a939ac60c42e8fa44cdc3c23a170"
"Supervisory control of multiple robots: Effects of imperfect automation and individual differences","2012","99","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859330597&doi=10.1177%2f0018720811435843&partnerID=40&md5=3454be04eae46ba5b1a2b7e4ccf08403"
"Static target identification based on the simulation of thermal infrared image","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860798990&doi=10.4028%2fwww.scientific.net%2fAMR.505.299&partnerID=40&md5=3245485c058fef922334d93372143255"
"Acetylcholinesterase Based Dipsticks with Indoxylacetate as a Substrate for Assay of Organophosphates and Carbamates","2012","31","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859190891&doi=10.1080%2f00032719.2011.644743&partnerID=40&md5=74d70f98e24d27517bf3d2a6442bba57"
"Application of smart coating sensor in crack detection for aircraft","2012","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863170911&doi=10.4028%2fwww.scientific.net%2fAMM.152-154.554&partnerID=40&md5=896e64478eb0a42b1d89005f2309b555"
"The search benefits of autonomous mobility in distributed sensor networks","2012","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858120382&doi=10.1155%2f2012%2f797040&partnerID=40&md5=e8618c10cdd9e708b3ae4db03c7faf13"
"Mitigation of periodic jamming in a spread spectrum system by adaptive filter selection","2012","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862124470&partnerID=40&md5=d7641db76648eee70be8f27a3299ef99"
"Adaptive information design for outdoor augmented reality","2012","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859815282&doi=10.3233%2fWOR-2012-0441-2187&partnerID=40&md5=c74392d9b9c2ac0a4c0c8c3144b2af75"
"Private communication detection: A stochastic approach","2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860652332&doi=10.1145%2f2185448.2185459&partnerID=40&md5=13c87378c8f596d896d6c529baf54c32"
"A high resolution and full information magnetic field measurement system","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859179318&doi=10.4028%2fwww.scientific.net%2fAMR.490-495.1315&partnerID=40&md5=a238e5db27a0837874d655459233d50a"
"Remaining useful life estimation based on a nonlinear diffusion degradation process","2012","478","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862827161&doi=10.1109%2fTR.2011.2182221&partnerID=40&md5=a96577656e37b984a33087be1dc1a2b7"
"Acetylcholinesterase based colorimetric dipsticks for military performance: Principles and construction","2012","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861698244&partnerID=40&md5=30cbe3c2fdd1ce19de567a58e1b06d58"
"Malicious user suppression for cooperative spectrum sensing in cognitive radio networks using Dixon's outlier detection method","2012","23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860828910&doi=10.1109%2fNCC.2012.6176787&partnerID=40&md5=726f86bce3c0939313b37b0539f2db0c"
"Secure route selection in wireless mesh networks","2012","40","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856065256&doi=10.1016%2fj.comnet.2011.07.005&partnerID=40&md5=d9f83fe862f8ae90ad4ed34bdefac091"
"Footprint: Detecting Sybil attacks in urban vehicular networks","2012","96","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860500466&doi=10.1109%2fTPDS.2011.263&partnerID=40&md5=ed5f63696790f5667b442d00b1f13f51"
"Study of thin film adhesion properties of multilayer flexible electronics composites","2012","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861543004&doi=10.1109%2fNEMS.2012.6196877&partnerID=40&md5=023a345f8e02a21508a3a91b5bbba8dc"
"Ambulatory physical activity in Swiss Army recruits","2012","20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865357005&doi=10.1055%2fs-0031-1295445&partnerID=40&md5=551afc77f88a06a67e464f5b9b2e91cc"
"Mid-infrared photodetectors based on quaternary InAsSbP nanostructures","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860700117&doi=10.3103%2fS106833721203005X&partnerID=40&md5=16a16ac725505b18fa2ff3f690b9b363"
"Calibration of common-rail diesel engine at high altitudes under full load operating conditions","2012","14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864547311&partnerID=40&md5=38e83b313a50424e28d3b83ffac7b8e3"
"Splitting method for spatio-temporal sensors deployment in underwater systems","2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859147834&doi=10.1007%2f978-3-642-29124-1_21&partnerID=40&md5=e4e11a7333593e2b8670a563c63381b8"
"Location-aware and safer cards: Enhancing RFID security and privacy via location sensing","2012","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860673845&doi=10.1145%2f2185448.2185457&partnerID=40&md5=e3b021a261171c8c9c9d87eb8a931edd"
"Inhibition of clathrin/dynamin-dependent internalization interferes with LPS-mediated TRAM-TRIF-dependent signaling pathway","2012","30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862793569&doi=10.1016%2fj.cellimm.2011.12.007&partnerID=40&md5=84b2dabd1a30d544c54c3f858198bedf"
"Optimization of UAV heading for the ground-to-air uplink","2012","208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862277125&doi=10.1109%2fJSAC.2012.120614&partnerID=40&md5=2d22eb8c1a55d2f90e55e3d679158d13"
"An evidential pattern matching approach for vehicle identification","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861007049&doi=10.1007%2f978-3-642-29461-7_5&partnerID=40&md5=63dad4e7050a5ff1c5d63336038280da"
"Cooperative situation assessment in a maritime scenario","2012","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858736736&doi=10.1002%2fint.21532&partnerID=40&md5=fa66eab43ec68184ea092b523dc3a41c"
"Development of digital acoustic sensor for remote applications","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859075805&partnerID=40&md5=752d3064ed57a0ffe15dfecd80f461a9"
"A dynamic modeling of 6×6 skid type vehicle for real time traversability analysis over curved driving path","2012","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860244524&doi=10.5302%2fJ.ICROS.2012.18.4.359&partnerID=40&md5=965615901f5224c43b16e655521cdb51"
"Clustered mixture particle filter for underwater multitarget tracking in multistatic active sonobuoy systems","2012","33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862534301&doi=10.1109%2fTSMCC.2011.2154329&partnerID=40&md5=3536cf9b6e32f10c3cf62cd882381d8e"
"Target threat assessment based on interval data fusion","2012","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861421837&partnerID=40&md5=b3bda65a8b9244eff9a6bc3e81f78941"
"Characterization of airborne bacteria at an underground subway station","2012","72","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857962882&doi=10.1128%2fAEM.07212-11&partnerID=40&md5=0e0c937405a45be2df2e1db6045541af"
"Search and classification using multiple autonomous vehicles: Decision-making and sensor management","2012","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860160360&doi=10.1007%2f978-1-4471-2957-8_1&partnerID=40&md5=216772e55c809967b66b4d9e157857fa"
"Do cooperative radios collide?","2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859994692&doi=10.1109%2fTCOMM.2012.022712.100556&partnerID=40&md5=20716beb2bc22136712469c1c0ad337f"
"Data fusion for ballistic targets tracking using least squares","2012","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859536303&doi=10.1016%2fj.aeue.2011.11.003&partnerID=40&md5=c3f1f9efc1d2b6fdb1f7fbcf9cbdb6d3"
"Electrochemical Immunosensor Coupled to Cyclone Air Sampler for Detection of Escherichia coli DH5α in Bioaerosols","2012","23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857699667&doi=10.1002%2felan.201100448&partnerID=40&md5=30d46e58705a74b896e872887680724f"
"The use of unmanned aerial vehicles in contemporary conflict: A legal and ethical analysis","2012","40","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861034035&doi=10.1057%2fpol.2012.2&partnerID=40&md5=3c1e4bd02bc51abe102ea9c34256c0de"
"Refueling the RPAs","2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881631524&partnerID=40&md5=3c2a12bc7b523d3bfe88ed2d683b84ea"
"The role of SensorSats in Intelligence, Surveillance and Reconnaissance operations","2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861122293&doi=10.1109%2fAERO.2012.6187174&partnerID=40&md5=b6ec81b59421b4c9ef809661f02ed39f"
"Bearing-crossing localization oriented data association algorithm for two-hierarchic elimination","2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860268801&partnerID=40&md5=d1f99356a710ec6b0f8d3d95d81661e1"
"Interactions of Bordetella pertussis adenylyl cyclase toxin CyaA with calmodulin mutants and calmodulin antagonists: Comparison with membranous adenylyl cyclase i","2012","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857371358&doi=10.1016%2fj.bcp.2012.01.005&partnerID=40&md5=dc15c6a6d22aa29d2a5e9d3fa5541439"
"Study of attacks and countermeasures in wireless sensor networks","2012","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861499132&doi=10.4156%2fAISS.vol4.issue8.37&partnerID=40&md5=9fb3cb4fb46025c886e833e6b3c52129"
"Optimizing biosurveillance systems that use threshold-based event detection methods","2012","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855887388&doi=10.1016%2fj.inffus.2009.12.002&partnerID=40&md5=8d9ecb805e730013900c57ec8f16fbf6"
"Detection and tracking technique for radar network in the presence of distributed jamming","2012","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862336446&doi=10.3969%2fj.issn.1001-506X.2012.04.26&partnerID=40&md5=f0b84c37bc51261218f37755cc4534ea"
"Area temperature system monitoring and computing based on adaptive fuzzy logic in wireless sensor networks","2012","26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858071662&doi=10.1016%2fj.asoc.2012.01.001&partnerID=40&md5=c141364fd3737414352480dc7aaa4681"
