"Titles","Year","Cited by","Link"
"Common mental disorders among US army aviation personnel: Prevalence and return to duty","2018","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052653314&doi=10.1002%2fjclp.22688&partnerID=40&md5=f5670b1597a8baa5326d1b55ab8e33ac"
"Effects of different relative humidities on growth performance, antioxidant capacity and immune function of broilers; [不同湿度对肉鸡生长性能、抗氧化能力和免疫功能的影响]","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059836543&doi=10.3864%2fj.issn.0578-1752.2018.24.012&partnerID=40&md5=b52a3122f088adfe8c9b4ae62399d85e"
"Effect of stress inoculation training with relaxation breathing on perceived stress and posttraumatic stress disorder in the military: A longitudinal study","2018","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058190686&doi=10.1037%2fstr0000082&partnerID=40&md5=26e089629abf4ec7f813376250300d6f"
"1-Pyrroline-5-carboxylate released by prostate Cancer cell inhibit T cell proliferation and function by targeting SHP1/cytochrome c oxidoreductase/ROS Axis","2018","21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058594261&doi=10.1186%2fs40425-018-0466-z&partnerID=40&md5=46a41aaec29aa106594fa06a7c26a546"
"A Longitudinal Investigation of Moral Injury Appraisals Amongst Treatment-Seeking Refugees","2018","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077237411&doi=10.3389%2ffpsyt.2018.00667&partnerID=40&md5=e06d8610eee48e2fe4e813dad02f0487"
"Exploratory analysis of mediators of the relationship between childhood maltreatment and suicidal behavior","2018","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054168713&doi=10.1016%2fj.adolescence.2018.09.004&partnerID=40&md5=b1af8111434056983ab86706595d3bb0"
"Effects of β-alanine supplementation on physical performance, cognition, endocrine function, and inflammation during a 24 h simulated military operation","2018","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058885462&doi=10.14814%2fphy2.13938&partnerID=40&md5=f88f80a132d24fea7390b076d083c81a"
"Preventing plunder: Military technology, capital accumulation, and economic growth","2018","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053192013&doi=10.1016%2fj.jmacro.2018.08.004&partnerID=40&md5=ce6a70e2d61c8b4442c711e9971d6491"
"Comparison of the applied measures on the simulated scenarios for the sustainable building construction through carbon footprint emissions-case study of building construction in Serbia","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058196079&doi=10.3390%2fsu10124688&partnerID=40&md5=57576ad2ec60f51ed075605deb7dbc3b"
"Migration crisis in the EU: developing a framework for analysis of national security and defence strategies","2018","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062734204&doi=10.1186%2fs40878-018-0093-3&partnerID=40&md5=b67e1e6da20ff27a51ed14450876641b"
"The standard of 'due diligence' as a result of interchange between the law of armed conflict and general international law","2018","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065726055&doi=10.1093%2fjcsl%2fkry022&partnerID=40&md5=5be0c76b997bf5fb9618d964dfa4f864"
"Adenovirus-mediated gene therapy for allergy","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059858143&partnerID=40&md5=9a728738119dff6d9e5d76b63eccf6a5"
"Long non-coding RNA THOR promotes cell proliferation and metastasis in hepatocellular carcinoma","2018","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051130330&doi=10.1016%2fj.gene.2018.08.035&partnerID=40&md5=aff443db3cb85a746b9cfdf47c83219e"
"Stress and eating behavior: A daily diary study in youngsters","2018","25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059239228&doi=10.3389%2ffpsyg.2018.02657&partnerID=40&md5=34e1eb17727ddeae41f90267fdb1b6bb"
"The effect of a service dog on salivary cortisol awakening response in a military population with posttraumatic stress disorder (PTSD)","2018","43","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055629186&doi=10.1016%2fj.psyneuen.2018.04.026&partnerID=40&md5=7a20e619aeb0bb9b504118966eb4787e"
"Experiences of Incarcerated Veterans in an All-Veterans Housing Unit: a Qualitative Study","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053913075&doi=10.1007%2fs12207-018-9332-z&partnerID=40&md5=6a651d1ba8a59b67189cd35e3e7a453e"
"Simvastatin Protects Cardiomyocytes Against Endotoxin-induced Apoptosis and Up-regulates Survivin/NF-κB/p65 Expression","2018","30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054183714&doi=10.1038%2fs41598-018-32376-4&partnerID=40&md5=4d925956ac2675ab83154e7629fe6b8d"
"Environmental control methods against wild and domestic species of Muridae family: A review","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061926299&doi=10.5958%2f0974-4576.2018.00093.2&partnerID=40&md5=0d4616f16d68ed30f9a5e4b3e98e06f3"
"French status seeking in a changing world: taking on the role as the guardian of the liberal order","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054794042&doi=10.1057%2fs41253-018-0078-5&partnerID=40&md5=161355fad3b41b0cd2b8c33cfca3c48d"
"Simultaneous determination of malondialdehyde and 3-nitrotyrosine in cultured human hepatoma cells by liquid chromatography–mass spectrometry","2018","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052483973&doi=10.1002%2fbmc.4349&partnerID=40&md5=23d885cb66814cb36af3a08d6b748e01"
"Remote assessment of countries’ cyber weapon capabilities","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054616600&doi=10.1007%2fs13278-018-0539-5&partnerID=40&md5=4abfc584da0da5343021f66d7a994039"
"Why robots should not be treated like animals","2018","23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053832155&doi=10.1007%2fs10676-018-9481-5&partnerID=40&md5=7fad7c9ff6a7868b69ad99f1c20bef1c"
"Warfare as design: Transgressive creativity and reductive operational planning","2018","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056698364&doi=10.1177%2f0967010618795787&partnerID=40&md5=372601b4272aecfc6875f0f2e79bd3d8"
"Neuroendocrine and inflammatory responses to DHEA administration in young healthy women","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052925335&doi=10.1016%2fj.pbb.2018.09.001&partnerID=40&md5=70dd03f11c5ad831a9d4ee1e4d952009"
"A role theory approach to middle powers: Making sense of Indonesia’s place in the international system","2018","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061435839&doi=10.1355%2fcs40-3c&partnerID=40&md5=bba89996c973e706fd1155b75dc5c37d"
"Lower risk of fractures under methylphenidate treatment for ADHD: A dose–response effect","2018","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052918828&doi=10.1002%2fjor.24129&partnerID=40&md5=c6fd18998d27c4b7dbed0cb59009f961"
"Strategic management and development market of dairy products on the basis of increasing domestic and innovation production","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061947334&partnerID=40&md5=22dac711f03dea0ac3bbdada9fab2743"
"Posttraumatic stress disorder diagnosis is associated with reduced parasympathetic activity during sleep in US veterans and military service members of the Iraq and Afghanistan wars","2018","24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058514940&doi=10.1093%2fsleep%2fzsy174&partnerID=40&md5=e9b452c26cdef73b86b0036aff675842"
"CXCL12 modulates the radiosensitivity of cervical cancer by regulating CD44","2018","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056153820&doi=10.3892%2fmmr.2018.9554&partnerID=40&md5=86c2d1c6a20425aefa808040fb964cd7"
"Moisture vapour permeable gloves extend thermal endurance and safe work time more than other similarly permeable chemical-biological ancillary protective items","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062766299&doi=10.1080%2f00140139.2018.1503726&partnerID=40&md5=0a9a24735628a18ce3abe5385afb54f0"
"Internal colonisation: The intimate circulations of empire, race and liberal government","2018","23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056633571&doi=10.1177%2f1354066117734904&partnerID=40&md5=8893d479d965bc2b8057b7a879487151"
"Training in goal-oriented attention self-regulation improves executive functioning in veterans with chronic traumatic brain injury","2018","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054584846&doi=10.1089%2fneu.2017.5529&partnerID=40&md5=cc25fca2083989508f7c0c0b7200c9cb"
"Measurement of cerebral blood flow autoregulation with rheoencephalography: A comparative pig study","2018","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068962884&doi=10.2478%2fjoeb-2018-0017&partnerID=40&md5=c70133e97dcfff7844fa7b903ac36707"
"Why trump won’t retrench: The militarist redoubt in American foreign policy","2018","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059660312&doi=10.1002%2fpolq.12835&partnerID=40&md5=3621c22735f2837b19c76c0337ebc10c"
"The physical and the emotional: Case report, mixed-methods development, and discussion","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058184735&doi=10.1521%2fpdps.2018.46.4.549&partnerID=40&md5=e77225ce16ecf642eab8d400a9b29015"
"Research on the Conceptual Modeling of COA for Analysis of Wargaming; [面向推演分析的联合作战方案概念建模研究]","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064518017&doi=10.16182%2fj.issn1004731x.joss.201812009&partnerID=40&md5=9dff025a99fed39a05c8d6365109b74a"
"Contribution of wetted clothing to body energy exchange and heat stress","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056170329&doi=10.1016%2fj.jtherbio.2018.09.014&partnerID=40&md5=57b4d7d5570c4f9b9739e7f3ffab58a1"
"The next generation cognitive security operations center: Network flow forensics using cybersecurity intelligence","2018","18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065925063&doi=10.3390%2fbdcc2040035&partnerID=40&md5=22b5fda44a1cd177835532781b5e29fd"
"Associations between the gut microbiota and host responses to high altitude","2018","33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058982708&doi=10.1152%2fajpgi.00253.2018&partnerID=40&md5=db14b134cccc7e72c71140dd022c640b"
"Oxidative stress-elicited YY1 potentiates antioxidative response via enhancement of NRF2-driven transcriptional activity: A potential neuronal defensive mechanism against ischemia/reperfusion cerebral injury","2018","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053560771&doi=10.1016%2fj.biopha.2018.09.082&partnerID=40&md5=85e1ff1ceee2444f96a889de3e46e86e"
"A Measure and Model of Psychological Health and Safety in the Workplace that Reflects Canada's National Standard","2018","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058486796&doi=10.1002%2fcjas.1500&partnerID=40&md5=e39dfd7370e6f654f979cf11b342be6e"
"Sexual harassment: Performances of gender, sexuality, and power","2018","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057309941&doi=10.1017%2fS1537592718002815&partnerID=40&md5=2f0a8f28a381ca1c2ba9e8510010a325"
"Trauma Memory Processing in Posttraumatic Stress Disorder Psychotherapy: A Unifying Framework","2018","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056660037&doi=10.1002%2fjts.22344&partnerID=40&md5=7d396e1fa983021913a28a847e30db7c"
"Integrated information support for the production and services on the basis of open technical vocabulary","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059135679&doi=10.1051%2fmatecconf%2f201825106003&partnerID=40&md5=298d277d0cae5f08bac978ef62ef1bad"
"Strategy development pilot study of sleep-restricted operators using small satellites with displays","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057548222&doi=10.3357%2fAMHP.5024.2018&partnerID=40&md5=8a2cd7f672e84a9758cd23bba9a7feea"
"Predicting army reserve unit manning using market demographics","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143268775&doi=10.1108%2fJDAL-09-2017-0020&partnerID=40&md5=cfa8cf21bc414454330c8f8b4c93aa69"
"Electrophysiological Correlates of Blast-Wave Induced Cerebellar Injury","2018","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053234351&doi=10.1038%2fs41598-018-31728-4&partnerID=40&md5=fdbba9cb83f0d821579e3f7d3267ea86"
"Using Kinetic Energy Non-Lethal Weapons to Neutralize Low Small Slow Unmanned Aerial Vehicles","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058447500&doi=10.1007%2fs41314-018-0008-y&partnerID=40&md5=817a28674e4d84fcb64e37ef5398baf2"
"Initial Adaption of the Injury Risk of the Human Leg Under High Rate Axial Loading for Use with a Hybrid III","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058297370&doi=10.1007%2fs41314-018-0011-3&partnerID=40&md5=668d105d5a6cdce4856f8b1d25ce1c79"
"Development of community of practice to support quantitative risk assessment for synthetic biology products: contaminant bioremediation and invasive carp control as cases","2018","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056081397&doi=10.1007%2fs10669-018-9710-9&partnerID=40&md5=e9cfd1a868bdb44401ccddb2fe4cea4e"
"Scheduling stored combat load retrieval","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143275186&doi=10.1108%2fJDAL-07-2017-0012&partnerID=40&md5=f8923c1c531332489a9c3b1a5ab44bca"
"A Network Model of Resilience Factors for Adolescents with and without Exposure to Childhood Adversity","2018","48","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055438333&doi=10.1038%2fs41598-018-34130-2&partnerID=40&md5=34cf48f0e8de525c31cafc9bdb2d3a14"
"The Phenomenology of Military Sexual Trauma Among Women Veterans","2018","20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053315548&doi=10.1177%2f0361684318791154&partnerID=40&md5=492612855d110a9415cafb4845d6d4d0"
"Pyrolysis/GC/MS as a Method to Rapidly Profile Pyrotechnic Formulations for Objectionable Gaseous Emissions","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057830262&doi=10.1021%2facssuschemeng.8b04342&partnerID=40&md5=340e0867c5cf76c1bd175b85fd1c3cd8"
"Picturing law and order: A visual framing analysis of ISIS’s Dabiq magazine","2018","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064255840&partnerID=40&md5=2bad5855c16d882d471de51af4d1fbb1"
"What if cyberspace were for fighting?","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058191023&doi=10.1017%2fS089267941800059X&partnerID=40&md5=ca2ced04c1e9cfd7d02a8a287b1921ce"
"Application of a mechanobiological algorithm to investigate mechanical mediation of heterotopic bone in trans-femoral amputees","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053721092&doi=10.1038%2fs41598-018-32414-1&partnerID=40&md5=701ebce4743d4f8c32fb67745ab76793"
"Diplomacy at a Canadian Mine Site in Guatemala","2018","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054921833&doi=10.1007%2fs10612-018-9422-y&partnerID=40&md5=03d1008dafd7648c1a14be94ff91e929"
"What can we/do we want to know? Reflections from researching SGBV in military settings","2018","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061984102&doi=10.1093%2fsp%2fjxy033&partnerID=40&md5=783239bfd31934168512a30478b0a883"
"Targeted expression of Vitreoscilla hemoglobin improves the production of tropane alkaloids in Hyoscyamus niger hairy roots","2018","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058887205&doi=10.1038%2fs41598-018-36156-y&partnerID=40&md5=bcdb49d4f01e1434c5b681e07ccd5856"
"MiR-3470b promotes bovine ephemeral fever virus replication via directly targeting mitochondrial antiviral signaling protein (MAVS) in baby hamster Syrian kidney cells","2018","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059243515&doi=10.1186%2fs12866-018-1366-6&partnerID=40&md5=211bf4be3c019d70aeb5589524e3623c"
"Regulating for 'Normal AI Accidents': Operational Lessons for the Responsible Governance of Artificial Intelligence Deployment","2018","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061048031&doi=10.1145%2f3278721.3278766&partnerID=40&md5=7a41bf427f71da6042c413f724411fc5"
"Epigenetic meta-analysis across three civilian cohorts identifies NRG1 and HGS as blood-based biomarkers for post-traumatic stress disorder","2018","32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058077061&doi=10.2217%2fepi-2018-0049&partnerID=40&md5=ff007b29a7e6cf1ccfba70c6532eced4"
"Assessing Turkey’s changing conflict management role after the Cold War: actorness, approaches and tools","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060198434&doi=10.1080%2f01436597.2018.1522956&partnerID=40&md5=167da93c00c182fb56c8523c7805d614"
"Altered cerebral benzodiazepine receptor binding in post-traumatic stress disorder","2018","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054428567&doi=10.1038%2fs41398-018-0257-9&partnerID=40&md5=c1e1e9ac38252a9ee759564ca7b5cf2b"
"Clustering of malignant pleural mesothelioma in asbestos factories: A subgroup analysis in a 29-year followup study to identify high-risk industries in Taiwan","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058350841&doi=10.1136%2fbmjopen-2017-021063&partnerID=40&md5=38609ec6b2b163f673711028613b3b3d"
"Posttraumatic stress and depressive symptoms in children after the Wenchuan earthquake; [汶川地震后的儿童创伤后应激和抑郁症状]; [Sintomas de estres postraumatico y depresivos en ninos despues del terremoto de wenchuan]","2018","26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053814018&doi=10.1080%2f20008198.2018.1472992&partnerID=40&md5=68708b53fcfae0342a51a2efd84378ec"
"Blast-induced brain injury in rats leads to transient vestibulomotor deficits and persistent orofacial pain","2018","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055246793&doi=10.1080%2f02699052.2018.1536282&partnerID=40&md5=95849b0b86c862a8d7648ebacc0981e5"
"Strange bedfellows: Australia, Iran and the dilemma of torture-tainted information sharing","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056997245&doi=10.1111%2fajph.12515&partnerID=40&md5=cabb5daf66767731eae0a5348e96b231"
"A conceptual system architecture for countering the civilian unmanned aerial vehicles threat to nuclear facilities","2018","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055506198&doi=10.1016%2fj.ijcip.2018.10.003&partnerID=40&md5=32e4a25a1a95101eef29c5f4b88f589d"
"Assessment of mouse strain differences in baseline esterase activities and toxic response to sarin","2018","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052882131&doi=10.1016%2fj.tox.2018.08.016&partnerID=40&md5=cf8e7d1dad99010fc4be5f9d4c7a151e"
"AMPK/PGC1α activation by melatonin attenuates acute doxorubicin cardiotoxicity via alleviating mitochondrial oxidative damage and apoptosis","2018","137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053447854&doi=10.1016%2fj.freeradbiomed.2018.08.032&partnerID=40&md5=d35e86ec0827e739919f132460a457fd"
"A new method for parametric design and optimization of ship inner shell based on the improved particle swarm optimization algorithm","2018","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055979205&doi=10.1016%2fj.oceaneng.2018.10.004&partnerID=40&md5=842e80e1af04f3cfb2d1cda7deb5352f"
"Effects of Touch, Voice, and Multimodal Input, and Task Load on Multiple-UAV Monitoring Performance During Simulated Manned-Unmanned Teaming in a Military Helicopter","2018","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052066675&doi=10.1177%2f0018720818788995&partnerID=40&md5=3a305dd2737c0edae4f3012b91bbb947"
"Negative Energy Balance Does Not Alter Fat-Free Mass During the Yukon Arctic Ultra—The Longest and the Coldest Ultramarathon","2018","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068210932&doi=10.3389%2ffphys.2018.01761&partnerID=40&md5=8f59d9b80ae78ecda8dccd4434cdd718"
"Confronting co-workers: Role models, attitudes, expectations, and perceived behavioral control as predictors of employee voice in the military","2018","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058661033&doi=10.3389%2ffpsyg.2018.02515&partnerID=40&md5=8c107af4f3edd975962ae9e1d22f3a4f"
"Performance assessment of European Air Navigation Service Providers","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060638768&doi=10.1109%2fDASC.2018.8569839&partnerID=40&md5=8ce7530760cb9719e9734def3f306a0e"
"A safety analysis of UAV mapping operations","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060657264&doi=10.1109%2fDASC.2018.8569743&partnerID=40&md5=ea79a411de56e1c8a69e8aaa79aadc1f"
"Assessing deterrence optinos for cyber weapons","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078517231&doi=10.1109%2fCSCI46756.2018.00011&partnerID=40&md5=f0d77e88316fc952226f2175516bbee8"
"Melatonin suppresses TLR9-triggered proinflammatory cytokine production in macrophages by inhibiting ERK1/2 and AKT activation","2018","26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055214358&doi=10.1038%2fs41598-018-34011-8&partnerID=40&md5=3cc5df9ea14afaa0b7fb0e5a88c4328b"
"Characterizing changes in glucocorticoid receptor internalization in the fear circuit in an animal model of post traumatic stress disorder","2018","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058078260&doi=10.1371%2fjournal.pone.0205144&partnerID=40&md5=9597156454fae16735ae2bd10aec8621"
"Why trust an algorithm? Performance, cognition, and neurophysiology","2018","39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053079575&doi=10.1016%2fj.chb.2018.07.026&partnerID=40&md5=06a72d6d0a2ee428f8dbfdc184e8b015"
"The impact of the reserve military neurosurgeon: Practice, community, and service","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057982890&doi=10.3171%2f2018.9.FOCUS18378&partnerID=40&md5=6974a16d4ac0d204e70c1cdbedbba382"
"Effect of bovine milk fat globule membranes as a complementary food on the serum metabolome and immune markers of 6-11-month-old Peruvian infants","2018","26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057203848&doi=10.1038%2fs41538-018-0014-8&partnerID=40&md5=541ec457aa9661ee701c68e50b61e571"
"Islamo-nationalism, domestic politics, and Bangladesh’s policy of balancing against India since the 1990s","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057087381&doi=10.1177%2f2233865918808031&partnerID=40&md5=afd213deda878b72109dcc2e6cdf2dbd"
"Cardiac adenovirus-associated viral Presenilin 1 gene delivery protects the left ventricular function of the heart via regulating RyR2 function in post-ischaemic heart failure","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044251542&doi=10.1080%2f1061186X.2018.1450412&partnerID=40&md5=d697b7addcf35f2bf4898bb932e8cc90"
"Metabolic network-based predictions of toxicant-induced metabolite changes in the laboratory rat","2018","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051075583&doi=10.1038%2fs41598-018-30149-7&partnerID=40&md5=33e6ba59882fe9aab290f340cc79e008"
"Lysozyme-antimicrobial peptide fusion protein promotes the diabetic wound size reduction in streptozotocin (STZ)-induced diabetic rats","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057131880&doi=10.12659%2fMSM.912596&partnerID=40&md5=f2731831afaf2434a53565bf84eb43af"
"Military (in)decision-making process: a psychological framework to examine decision inertia in military operations","2018","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057743270&doi=10.1080%2f1463922X.2018.1497726&partnerID=40&md5=8bba2cf249b428822765e87a7b4e8fb7"
"Inhibition of cGAS-STING-TBK1 signaling pathway by DP96R of ASFV China 2018/1","2018","55","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056602072&doi=10.1016%2fj.bbrc.2018.10.103&partnerID=40&md5=ad9508273a650d627e8625c89f62974f"
"Antidepressant adherence in United States active duty Army Soldiers: A small descriptive study","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048097612&doi=10.1016%2fj.apnu.2018.06.002&partnerID=40&md5=1e3e79ecc9c89c40221a8a72b3701616"
